1 -1 28888 28872 57760
2 1,2,2,2 10912 9600 20512
3 0,2,2,2 9600 10848 20448
4 1,1,2,2 2400 8784 11184
5 1,0,2,2 4016 5280 9296
6 0,1,2,2 5280 3984 9264
7 0,0,2,2 8816 2400 11216
8 1,1,1,2 5760 0 5760
9 1,1,0,2 5760 2880 8640
10 1,0,1,2 2880 0 2880
11 1,0,0,2 2880 5760 8640
12 0,1,1,2 5760 2880 8640
13 0,1,0,2 0 2880 2880
14 0,0,1,2 2880 5760 8640
15 0,0,0,2 0 5760 5760
16 1,1,1,1 13528 0 13528
17 1,1,1,0 3120 0 3120
18 1,1,0,1 3120 0 3120
19 1,1,0,0 720 720 1440
20 1,0,1,1 3120 0 3120
21 1,0,1,0 0 0 0
22 1,0,0,1 720 720 1440
23 1,0,0,0 0 3120 3120
24 0,1,1,1 3120 0 3120
25 0,1,1,0 720 720 1440
26 0,1,0,1 0 0 0
27 0,1,0,0 0 3120 3120
28 0,0,1,1 720 720 1440
29 0,0,1,0 0 3120 3120
30 0,0,0,1 0 3120 3120
31 0,0,0,0 0 13512 13512
